DUT_ID,DeviceSlot,DeviceName,SignalName,PhysicalChannel,ID,Enabled,ChannelType,CounterName,MaximumVoltage,MinimumVoltage,TerminalConfiguration,SampleRate,SampleMode,WaveformType,PinNumber,Frequency,Amplitude,DutyCycle,ReferenceClock
1,2,6363-PXI2Slot2,6363-ch 0,6363-PXI2Slot2/ai0,0,1,Analog_Input,,10,-10,RSE,1000,,, B2,0,0,0,
1,2,6363-PXI2Slot2,6363-ch 1,6363-PXI2Slot2/ai1,1,1,Analog_Input,,10,-10,RSE,1000,,, B3,0,0,0,
1,2,6363-PXI2Slot2,6363-ch 2,6363-PXI2Slot2/ai2,2,1,Analog_Input,,10,-10,RSE,1000,,, B4,0,0,0,
1,2,6363-PXI2Slot2,6363-ch 3,6363-PXI2Slot2/ai3,3,1,Analog_Input,,10,-10,RSE,1000,,, B5,0,0,0,
1,2,6363-PXI2Slot2,6363-ch 4,6363-PXI2Slot2/ai4,4,1,Analog_Input,,10,-10,RSE,1000,,, B6,0,0,0,
1,2,6363-PXI2Slot2,6363-ch 5,6363-PXI2Slot2/ai5,5,1,Analog_Input,,10,-10,RSE,1000,,, B7,0,0,0,
1,2,6363-PXI2Slot2,6363-ch 6,6363-PXI2Slot2/ai6,6,1,Analog_Input,,10,-10,RSE,1000,,, B8,0,0,0,
1,2,6363-PXI2Slot2,6363-ch 7,6363-PXI2Slot2/ai7,7,1,Analog_Input,,10,-10,RSE,1000,,, B9,0,0,0,
1,2,6363-PXI2Slot2,6363-ch 8,6363-PXI2Slot2/ai8,8,1,Analog_Input,,10,-10,RSE,1000,,, B10,0,0,0,
1,2,6363-PXI2Slot2,6363-ch 9,6363-PXI2Slot2/ai9,9,1,Analog_Input,,10,-10,RSE,1000,,, B11,0,0,0,
1,2,6363-PXI2Slot2,6363-ch 10,6363-PXI2Slot2/ai10,10,1,Analog_Input,,10,-10,RSE,1000,,, B12,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 0,6363-PXI2Slot2/ai11,11,1,Analog_Input,,10,-10,RSE,1000,,, B2,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 1,6363-PXI2Slot2/ai12,12,1,Analog_Input,,10,-10,RSE,1000,,, B3,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 2,6363-PXI2Slot2/ai13,13,1,Analog_Input,,10,-10,RSE,1000,,, B4,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 3,6363-PXI2Slot2/ai14,14,1,Analog_Input,,10,-10,RSE,1000,,, B5,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 4,6363-PXI2Slot2/ai15,15,1,Analog_Input,,10,-10,RSE,1000,,, B6,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 5,6363-PXI2Slot2/ai16,16,1,Analog_Input,,10,-10,RSE,1000,,, B7,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 6,6363-PXI2Slot2/ai17,17,1,Analog_Input,,10,-10,RSE,1000,,, B8,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 7,6363-PXI2Slot2/ai18,18,1,Analog_Input,,10,-10,RSE,1000,,, B9,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 8,6363-PXI2Slot2/ai19,19,1,Analog_Input,,10,-10,RSE,1000,,, B10,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 9,6363-PXI2Slot2/ai20,20,1,Analog_Input,,10,-10,RSE,1000,,, B11,0,0,0,
2,2,6363-PXI2Slot2,6363-ch 10,6363-PXI2Slot2/ai21,21,1,Analog_Input,,10,-10,RSE,1000,,, B12,0,0,0,
3,2,6363-PXI2Slot2,6363-ch 0,6363-PXI2Slot2/ai22,22,1,Analog_Input,,10,-10,RSE,1000,,, B2,0,0,0,
3,2,6363-PXI2Slot2,6363-ch 1,6363-PXI2Slot2/ai23,23,1,Analog_Input,,10,-10,RSE,1000,,, B3,0,0,0,
3,2,6363-PXI2Slot2,6363-ch 2,6363-PXI2Slot2/ai24,24,1,Analog_Input,,10,-10,RSE,1000,,, B4,0,0,0,
3,2,6363-PXI2Slot2,6363-ch 3,6363-PXI2Slot2/ai25,25,1,Analog_Input,,10,-10,RSE,1000,,, B5,0,0,0,
3,2,6363-PXI2Slot2,6363-ch 4,6363-PXI2Slot2/ai26,26,1,Analog_Input,,10,-10,RSE,1000,,, B6,0,0,0,
3,2,6363-PXI2Slot2,6363-ch 5,6363-PXI2Slot2/ai27,27,1,Analog_Input,,10,-10,RSE,1000,,, B7,0,0,0,
3,2,6363-PXI2Slot2,6363-ch 6,6363-PXI2Slot2/ai28,28,1,Analog_Input,,10,-10,RSE,1000,,, B8,0,0,0,
3,2,6363-PXI2Slot2,6363-ch 7,6363-PXI2Slot2/ai29,29,1,Analog_Input,,10,-10,RSE,1000,,, B9,0,0,0,
3,2,6363-PXI2Slot2,6363-ch 8,6363-PXI2Slot2/ai30,30,1,Analog_Input,,10,-10,RSE,1000,,, B10,0,0,0,
3,2,6363-PXI2Slot2,6363-ch 9,6363-PXI2Slot2/ai31,31,1,Analog_Input,,10,-10,RSE,1000,,, B11,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-0,6739-PXI2Slot5/ao0,0,1,Analog_Output,,10,-10,RSE,1000,,,A1,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-1,6739-PXI2Slot5/ao1,1,1,Analog_Output,,10,-10,RSE,1000,,,A2,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-2,6739-PXI2Slot5/ao2,2,1,Analog_Output,,10,-10,RSE,1000,,,A3,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-3,6739-PXI2Slot5/ao3,3,1,Analog_Output,,10,-10,RSE,1000,,,A4,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-4,6739-PXI2Slot5/ao4,4,1,Analog_Output,,10,-10,RSE,1000,,,A5,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-5,6739-PXI2Slot5/ao5,5,1,Analog_Output,,10,-10,RSE,1000,,,A6,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-6,6739-PXI2Slot5/ao6,6,1,Analog_Output,,10,-10,RSE,1000,,,A7,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-7,6739-PXI2Slot5/ao7,7,1,Analog_Output,,10,-10,RSE,1000,,,A8,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-8,6739-PXI2Slot5/ao8,8,1,Analog_Output,,10,-10,RSE,1000,,,A9,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-9,6739-PXI2Slot5/ao9,9,1,Analog_Output,,10,-10,RSE,1000,,,A10,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-10,6739-PXI2Slot5/ao10,10,1,Analog_Output,,10,-10,RSE,1000,,,A11,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-11,6739-PXI2Slot5/ao11,11,1,Analog_Output,,10,-10,RSE,1000,,,A12,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-12,6739-PXI2Slot5/ao12,12,1,Analog_Output,,10,-10,RSE,1000,,,A13,0,0,0,
1,5,6739-PXI2Slot5,6739-Ch-13,6739-PXI2Slot5/ao13,13,1,Analog_Output,,10,-10,RSE,1000,,,A14,0,0,0,
