RelayNumber,DUT_ID,DeviceSlot,DeviceName,Enabled,SignalName,PhysicalChannel,ChannelType,Topology,PinNumber
1,1,17,2520PXI2Slot17,1,T30,k0,Relay_Output,2520/80-SPST,D5
2,1,17,2520PXI2Slot17,1,Relay1,K1,Relay_Output,2520/80-SPST,D6
3,1,17,2520PXI2Slot17,1,Relay2,k2,Relay_Output,2520/80-SPST,D7
4,1,17,2520PXI2Slot17,1,Relay3,k3,Relay_Output,2520/80-SPST,D8
5,1,17,2520PXI2Slot17,1,Relay4,k4,Relay_Output,2520/80-SPST,D9
6,1,17,2520PXI2Slot17,1,Relay5,k5,Relay_Output,2520/80-SPST,D10
7,1,17,2520PXI2Slot17,1,Relay6,k6,Relay_Output,2520/80-SPST,D11
8,1,17,2520PXI2Slot17,1,Relay7,k7,Relay_Output,2520/80-SPST,D12
9,1,17,2520PXI2Slot17,1,Relay8,k8,Relay_Output,2520/80-SPST,D13
10,1,17,2520PXI2Slot17,1,Relay9,k9,Relay_Output,2520/80-SPST,D14
11,1,17,2520PXI2Slot17,1,Relay10,k10,Relay_Output,2520/80-SPST,D15
12,1,17,2520PXI2Slot17,1,Relay11,k11,Relay_Output,2520/80-SPST,D16
13,1,17,2520PXI2Slot17,1,Relay12,k12,Relay_Output,2520/80-SPST,D17
14,1,17,2520PXI2Slot17,1,Relay13,k13,Relay_Output,2520/80-SPST,E1
15,1,17,2520PXI2Slot17,1,Relay14,k14,Relay_Output,2520/80-SPST,E2
16,1,17,2520PXI2Slot17,1,Relay15,k15,Relay_Output,2520/80-SPST,E3
17,2,17,2520PXI2Slot17,1,T30,k16,Relay_Output,2520/80-SPST,D5
18,2,17,2520PXI2Slot17,1,Relay1,k17,Relay_Output,2520/80-SPST,D6
19,2,17,2520PXI2Slot17,1,Relay2,k18,Relay_Output,2520/80-SPST,D7
20,2,17,2520PXI2Slot17,1,Relay3,k19,Relay_Output,2520/80-SPST,D8
21,2,17,2520PXI2Slot17,1,Relay4,k20,Relay_Output,2520/80-SPST,D9
22,2,17,2520PXI2Slot17,1,Relay5,k21,Relay_Output,2520/80-SPST,D10
23,2,17,2520PXI2Slot17,1,Relay6,k22,Relay_Output,2520/80-SPST,D11
24,2,17,2520PXI2Slot17,1,Relay7,k23,Relay_Output,2520/80-SPST,D12
25,2,17,2520PXI2Slot17,1,Relay8,k24,Relay_Output,2520/80-SPST,D13
26,2,17,2520PXI2Slot17,1,Relay9,k25,Relay_Output,2520/80-SPST,D14
27,2,17,2520PXI2Slot17,1,Relay10,k26,Relay_Output,2520/80-SPST,D15
28,2,17,2520PXI2Slot17,1,Relay11,k27,Relay_Output,2520/80-SPST,D16
29,2,17,2520PXI2Slot17,1,Relay12,k28,Relay_Output,2520/80-SPST,D17
30,2,17,2520PXI2Slot17,1,Relay13,k29,Relay_Output,2520/80-SPST,E1
31,2,17,2520PXI2Slot17,1,Relay14,k30,Relay_Output,2520/80-SPST,E2
32,2,17,2520PXI2Slot17,1,Relay15,k31,Relay_Output,2520/80-SPST,E3
33,3,17,2520PXI2Slot17,1,T30,k32,Relay_Output,2520/80-SPST,D5
34,3,17,2520PXI2Slot17,1,Relay1,k33,Relay_Output,2520/80-SPST,D6
35,3,17,2520PXI2Slot17,1,Relay2,k34,Relay_Output,2520/80-SPST,D7
36,3,17,2520PXI2Slot17,1,Relay3,k35,Relay_Output,2520/80-SPST,D8
37,3,17,2520PXI2Slot17,1,Relay4,k36,Relay_Output,2520/80-SPST,D9
38,3,17,2520PXI2Slot17,1,Relay5,k37,Relay_Output,2520/80-SPST,D10
39,3,17,2520PXI2Slot17,1,Relay6,k38,Relay_Output,2520/80-SPST,D11
40,3,17,2520PXI2Slot17,1,Relay7,k39,Relay_Output,2520/80-SPST,D12
41,3,17,2520PXI2Slot17,1,Relay8,k40,Relay_Output,2520/80-SPST,D13
42,3,17,2520PXI2Slot17,1,Relay9,k41,Relay_Output,2520/80-SPST,D14
43,3,17,2520PXI2Slot17,1,Relay10,k42,Relay_Output,2520/80-SPST,D15
44,3,17,2520PXI2Slot17,1,Relay11,k43,Relay_Output,2520/80-SPST,D16
45,3,17,2520PXI2Slot17,1,Relay12,k44,Relay_Output,2520/80-SPST,D17
46,3,17,2520PXI2Slot17,1,Relay13,k45,Relay_Output,2520/80-SPST,E1
47,3,17,2520PXI2Slot17,1,Relay14,k46,Relay_Output,2520/80-SPST,E2
48,3,17,2520PXI2Slot17,1,Relay15,k47,Relay_Output,2520/80-SPST,E3
97,1,9,6514-PXI2Slot9,1,48V Postive,6514-PXI2Slot9/port6/line0,Digital_Output,2520/80-SPST,A1
